"rowkey","occurrenceID","eventID","catalogNumber","collectionCode","dcterms:type","dcterms:license processed","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","dcterms:references","taxonID","scientificName processed","scientificNameAuthorship","nomenclaturalStatus","taxonRemarks","identificationRemarks","identifiedBy processed","identificationVerificationStatus","identificationVerificationStatus processed","kingdom","phylum processed","class processed","order processed","family processed","genus processed","specificEpithet","infraspecificEpithet","eventDate processed","eventTime","verbatimEventDate","day processed","month processed","year processed","eventDateEnd processed","endDay processed","endMonth processed","endYear processed","locationID","higherGeographyID","higherGeography","islandGroup","island","countryCode","county","gridreference","verbatimLocality","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","georeferenceVerificationStatus processed","georeferenceRemarks","geologicalContextID","basisOfRecord processed","occurrenceStatus processed","occurrenceRemarks","vitality","dynamicProperties","recordNumber","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","behavior","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","samplingEffort","sampleSizeUnit","measurementDeterminedDate","relationshipAccordingTo","resourceRelationshipID","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","relationshipOfResource","measurementMethod","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","relatedResourceID","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","collectionID","datasetID","institutionCode","fieldNotes","eventRemarks","datasetName","ownerInstitutionCode","otherCatalogNumbers","materialSampleID","decimalLatitude processed","decimalLongitude processed","Coordinate uncertainty - processed"
"004262eb-fb9a-462f-a767-07aa512b37c6","86716509","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2011-05-13",,,"13","05","2011",,,,,,,,,,,,"NY22",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.614561","-3.162853","7071.1"
"00977b2e-db47-4b42-85d8-94a7af5a66b1","38156630","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2004-04-12",,,"12","04","2004",,,,,,,,,,,,"NY22",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.614561","-3.162853","7071.1"
"0331eeb5-d463-43cd-9cc7-9ecf1577ce0e","60943672","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2008-09-04",,,"04","09","2008",,,,,,,,,,,,"NY55",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.887707","-2.703026","7071.1"
"065a8bda-8e7d-4cf7-a58d-ebe79a55d8c8","230006552","",,"no key",,"CC-BY-NC",,,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,,"Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"1981-11","","","","11","1981","1984-02",,"02","1984","11876945",,,,,,,"NY46",,,,,,"Accepted - considered correct",,,"HumanObservation","present",,,,"WIN71688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GA000599","British Trust for Ornithology",,,,,,,"54.97656","-2.86081","7071.1"
"075b2bfc-fe45-495f-b684-03578f3d8e48","17320966","",,,,"OGL","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2005-05-18",,,"18","05","2005",,,,,,,,,,,,"SD29",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO/JNCC/RSPB partnership)",,,,"54.345008","-3.155229","7071.1"
"076a449b-afd0-458e-97c8-499de3b983f9","83212481","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2011-02-03",,,"03","02","2011",,,,,,,,,,,,"SD28",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.255154","-3.152715","7071.1"
"09c80bf7-73ea-404f-9740-858f2902d537","98542630","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2011-02-18",,,"18","02","2011",,,,,,,,,,,,"NY66",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.978368","-2.548368","7071.1"
"0a06874b-12ad-44d1-9f00-9308f103011b","95935566","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2014-10-17",,,"17","10","2014",,,,,,,,,,,,"NY65",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.88851","-2.547147","7071.1"
"0ab90986-9cf3-4e03-b2b1-cd94fdd36fbd","107850211","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2016-05-09",,,"09","05","2016",,,,,,,,,,,,"NY00",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.431513","-3.465989","7071.1"
"0b82e223-62a7-4133-bc7b-c5ec976c29a1","51389920","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2006-08-12",,,"12","08","2006",,,,,,,,,,,,"NY83",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.709787","-2.234326","7071.1"
"0c663f6d-b810-4235-8699-5b2032653d27","103229927","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2019-06-04",,,"04","06","2019",,,,,,,,,,,,"NY56",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.977563","-2.704596","7071.1"
"0c8e9d9f-a23e-4d4d-8492-309afb9bab03","55828648","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2010-04-11",,,"11","04","2010",,,,,,,,,,,,"NY53",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.707992","-2.699913","7071.1"
"0d895906-acf2-4042-9825-95e000de6f0f","61715772","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2010-04-01",,,"01","04","2010",,,,,,,,,,,,"NY25",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.884101","-3.170605","7071.1"
"1151f2d4-e164-4dc1-94e8-741bc82590c0","57856298","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2010-05-31",,,"31","05","2010",,,,,,,,,,,,"NY22",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.614561","-3.162853","7071.1"
"127168ed-5e1a-4004-9349-88cdb90c90e8","49172954","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2010-02-20",,,"20","02","2010",,,,,,,,,,,,"NY75",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.889112","-2.39126","7071.1"
"12cb2d49-8016-4040-9feb-743d9582cc02","59206620","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2008-01-27",,,"27","01","2008",,,,,,,,,,,,"NY11",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.523131","-3.31476","7071.1"
"16820b64-788b-4d18-9dbd-368637575c6e","105540569","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2017-10-10",,,"10","10","2017",,,,,,,,,,,,"NY55",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.887707","-2.703026","7071.1"
"186c47df-9eb1-4e47-a4fd-85ea2272eb03","9186080","",,,,"OGL","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2009-04-02",,,"02","04","2009",,,,,,,,,,,,"NY80",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO/JNCC/RSPB partnership)",,,,"54.440185","-2.232783","7071.1"
"1bfb1b2b-d7dd-4031-af58-aa249a26f3b5","8170702","",,,,"OGL","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2006-04-29",,,"29","04","2006",,,,,,,,,,,,"NY75",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO/JNCC/RSPB partnership)",,,,"54.889112","-2.39126","7071.1"
"2159f623-15a3-4607-916e-48c39e8a3201","6141236","",,,,"OGL","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"1985-06-13",,,"13","06","1985",,,,,,,,,,,,"NY66",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO/JNCC/RSPB partnership)",,,,"54.978368","-2.548368","7071.1"
"2353a558-5896-4322-a048-31c719f2968c","16304893","",,,,"OGL","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2006-05-16",,,"16","05","2006",,,,,,,,,,,,"NY10",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO/JNCC/RSPB partnership)",,,,"54.433285","-3.31188","7071.1"
"24ee9d19-ada8-4fa2-b783-047219e37f20","55635521","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2009-02-06",,,"06","02","2009",,,,,,,,,,,,"NY22",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.614561","-3.162853","7071.1"
"24f138a8-2415-4b04-bbb0-5a70721602e6","65676694","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2008-01-01",,,"01","01","2008",,,,,,,,,,,,"NY66",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.978368","-2.548368","7071.1"
"2766db5b-fd2c-4a6f-aec8-dae9c54e40e0","86716510","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2015-07-11",,,"11","07","2015",,,,,,,,,,,,"NY22",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.614561","-3.162853","7071.1"
"2a1ef97b-8e3f-4282-81e6-92d78992430a","53706129","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2006-01-08",,,"08","01","2006",,,,,,,,,,,,"NY65",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.88851","-2.547147","7071.1"
"2a74d7ca-7b8f-4669-b7f7-af533ecf5caa","104700683","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2018-03-24",,,"24","03","2018",,,,,,,,,,,,"NY00",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.431513","-3.465989","7071.1"
"2de36f32-ca45-4430-a418-aedc9386cd2c","71665368","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2010-03-17",,,"17","03","2010",,,,,,,,,,,,"SD48",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.257699","-2.845768","7071.1"
"3204346a-ffa1-424a-afad-637601058d85","65291119","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2010-01-28",,,"28","01","2010",,,,,,,,,,,,"NY54",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.79785","-2.701465","7071.1"
"331cd99e-ba1d-439a-a13f-d547c70c8f00","90725875","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2011-01-31",,,"31","01","2011",,,,,,,,,,,,"NY66",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.978368","-2.548368","7071.1"
"34d285f6-250f-4d41-92ed-fd193052f86a","69056474","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2009-04-11",,,"11","04","2009",,,,,,,,,,,,"NY22",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.614561","-3.162853","7071.1"
"3fdf7dab-d0f3-4c76-91ea-b721a7cb61f2","116669330","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2019-08-31",,,"31","08","2019",,,,,,,,,,,,"NY35",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.885503","-3.014757","7071.1"
"43a234e8-860c-4689-b26e-870d9577a82d","66255522","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2006-01-30",,,"30","01","2006",,,,,,,,,,,,"SD19",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.343438","-3.309017","7071.1"
"44c08bee-8143-4619-b43f-67e4daaebdb4","84412934","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2013-07-23",,,"23","07","2013",,,,,,,,,,,,"NY52",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.618132","-2.698369","7071.1"
"46c07ccd-d620-4fdb-bed5-4037ffd0db33","94131267","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2014-03-04",,,"04","03","2014",,,,,,,,,,,,"NY55",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.887707","-2.703026","7071.1"
"496b121d-03ae-4a15-adc4-e5a49665ed51","85814153","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Accepted - considered correct","Accepted - considered correct","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2011-10-24",,,"24","10","2011",,,,,,,,,,,,"NY66",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.978368","-2.548368","7071.1"
"49eff5cb-b7cd-4635-9a00-588433e92997","88719817","",,,,"CC-BY-NC","BTO",,,,"NHMSYS0000530119","Accipiter gentilis",,,,,,"Unconfirmed - not reviewed","Unconfirmed - not reviewed","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Accipiter",,,"2015-04-25",,,"25","04","2015",,,,,,,,,,,,"SD29",,,,,,,,,"HumanObservation","present",,"alive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BTO",,,"Birds (BTO+partners)",,,,"54.345008","-3.155229","7071.1"
